name,matched_alias,papers_last_12m,papers_last_36m,last_paper_date,latest_title,latest_bibcode,recent_activity_flag
NGTS-2b,NGTS-2b,1,1,2026-06-00,BOWIE-ALIGN: exploring degeneracies in the muted transmission spectrum of the aligned hot Jupiter NGTS-2b with NIRSpec/G395H,2026MNRAS.548ag528F,True
NGTS-5b,NGTS-5b,2,2,2026-03-00,Evidence for stellar contamination and water absorption in NGTS-5b's transmission spectra with GTC/OSIRIS,2026A&A...707A.315W,True
NGTS-6b,NGTS 6 b,0,0,,,,False
NGTS-8b,NGTS 8 b,0,0,,,,False
NGTS-9b,NGTS 9 b,0,2,,,,False
NGTS-10b,NGTS 10 b,0,1,,,,False
NGTS-11b,NGTS 11 b,1,1,2025-10-00,NGTS-11 c: a transiting Neptune-mass planet interior to the warm Saturn NGTS-11 b,2025arXiv251014083A,True
NGTS-12b,NGTS 12 b,0,0,,,,False
NGTS-13b,NGTS 13 b,0,0,,,,False
NGTS-24b,NGTS 24 b,0,0,,,,False
PH2b,PH2 b,0,0,,,,False
Qatar-1b,Qatar-1b,3,8,2026-06-00,Transit Depth Variability and Observational Effects in the Hot Jupiter Qatar-1b,2026ASTCS..1100136K,True
Qatar-2b,Qatar 2 b,0,0,,,,False
Qatar-3b,Qatar 3 b,0,0,,,,False
Qatar-4b,Qatar 4 b,3,4,2026-07-00,"Ephemeris Refinement for Qatar-4 b, HAT-P-18 b, and CoRoT-1 b with Small Telescope and TESS Observations",2026arXiv260715391H,True
Qatar-5b,Qatar 5 b,0,0,,,,False
Qatar-6b,Qatar 6 b,0,1,,,,False
Qatar-7b,Qatar 7 b,0,0,,,,False
Qatar-8b,Qatar 8 b,0,1,,,,False
Qatar-9b,Qatar 9 b,0,0,,,,False
Qatar-10b,Qatar 10 b,0,0,,,,False
TIC237913194b,TIC237913194 b,0,0,,,,False
TIC257060897b,TIC257060897 b,0,0,,,,False
TOI-122b,TOI 122 b,0,0,,,,False
TOI-125b,TOI 125 b,0,0,,,,False
